table_name,column_name,data_type,is_nullable,column_default
access_lvl_options,access_id,bigint,NO,null
access_lvl_options,created_at,timestamp with time zone,NO,now()
access_lvl_options,accesslvl_name,text,NO,null
attribute_options,id,bigint,NO,null
attribute_options,created_at,timestamp with time zone,NO,now()
attribute_options,attr_name,text,NO,null
body_areas,id,bigint,NO,null
body_areas,created_at,timestamp with time zone,NO,now()
body_areas,name,text,NO,null
brand_attributes,id,bigint,NO,null
brand_attributes,created_at,timestamp with time zone,NO,now()
brand_attributes,brand,bigint,NO,null
brand_attributes,attribute,bigint,NO,null
brand_size_cats,id,bigint,NO,null
brand_size_cats,created_at,timestamp with time zone,NO,now()
brand_size_cats,brand,bigint,NO,null
brand_size_cats,size_category,bigint,NO,null
brands,brand_id,bigint,NO,null
brands,created_at,timestamp with time zone,NO,now()
brands,brand_name,text,NO,null
brands,brand_highlights,text,NO,null
brands,updated_at,timestamp without time zone,YES,now()
color_options,color_id,bigint,NO,null
color_options,created_at,timestamp with time zone,NO,now()
color_options,color_name,text,NO,null
employee,created_at,timestamp with time zone,NO,now()
employee,Fname,text,NO,null
employee,Lname,text,NO,null
employee,role,bigint,NO,null
employee,birthday,date,NO,null
employee,start_date,date,NO,null
employee,employee_number,text,NO,null
employee,employee_id,bigint,NO,null
height_category_options,id,bigint,NO,null
height_category_options,created_at,timestamp with time zone,NO,now()
height_category_options,height_name,text,NO,null
hip_attributes,id,bigint,NO,null
hip_attributes,created_at,timestamp with time zone,NO,now()
hip_attributes,name,text,NO,null
hip_attributes,img,text,YES,null
hip_attributes,body_area,bigint,NO,null
material_options,id,bigint,NO,null
material_options,created_at,timestamp with time zone,NO,now()
material_options,name,text,NO,null
material_options,fit details,text,NO,null
material_options,quality_details,text,NO,null
moment_options,moment_id,bigint,NO,null
moment_options,created_at,timestamp with time zone,NO,now()
moment_options,moment_name,text,NO,null
moment_options,img,text,NO,null
moment_outfits,id,bigint,NO,null
moment_outfits,created_at,timestamp with time zone,NO,now()
moment_outfits,outfit,bigint,NO,null
moment_outfits,moment,bigint,NO,null
monthly_spend_options,id,bigint,NO,null
monthly_spend_options,created_at,timestamp with time zone,NO,now()
monthly_spend_options,spend_range,text,NO,null
order_status,id,bigint,NO,null
order_status,created_at,timestamp with time zone,NO,now()
order_status,status_name,text,NO,null
ordered_item_status,id,bigint,NO,null
ordered_item_status,created_at,timestamp with time zone,NO,now()
ordered_item_status,status_name,text,NO,null
ordered_items,order_item_id,bigint,NO,null
ordered_items,created_at,timestamp with time zone,NO,now()
ordered_items,order_id,bigint,NO,null
ordered_items,order_number,text,NO,null
ordered_items,user,uuid,NO,null
ordered_items,product_id,bigint,NO,null
ordered_items,quantitiy,integer,NO,null
